Designator,Mid X,Mid Y,Layer,Rot
C9,51.215,-124.42,B,180
C10,56.235,-131.92,B,180
C18,142.56,-124.000001,B,180
C19,154.54,-123.500001,B,180
C22,128.6775,-154.925001,B,180
C23,120.04,-119.500001,B,0
C29,48.215,-131.42,B,180
C30,75.235,-124.42,B,180
C32,64,-76.5,B,-90
C34,59.02,-53,B,180
C35,145.5,-62.5,B,-90
C37,68,-72,B,180
C38,94.5,-61.5,B,180
C41,58.02,-104.98,B,90
R8,74.865,-109.935934,B,-90
R9,73.365,-109.935934,B,-90
R10,72,-109.935934,B,-90
R11,70.5,-109.935934,B,-90
R17,78,-109.435934,B,-90
R18,79.5,-109.435934,B,-90
R19,83.865,-109.435934,B,-90
R20,81,-109.435934,B,-90
R21,53.215,-133.42,B,180
R22,51.215,-133.42,B,180
R23,170.26,-85.5,B,0
R25,64.65,-114.935934,B,180
R36,85,-109.435934,B,-90
R37,86.5,-109.435934,B,-90
R38,88,-109.435934,B,-90
R39,82.365,-109.435934,B,-90
U3,54.475,-59.77,B,180
U11,123.54,-127.000001,B,180
U20,74.5,-69.5,B,-90
U21,64.365,-102.435934,B,-90
U23,133.6775,-157.925001,B,180
U27,134.595,-51.525,B,-90
U29,80.397468,-126.395,B,180
U35,52.215,-128.92,B,-90
U37,155.025,-78.195,B,180
U38,154.802684,-66.65,B,180
U40,135.64,-75.65,B,0
U41,135.64,-86.65,B,180
U43,153.802684,-90.15,B,180
