Designator,Mid X,Mid Y,Layer,Rotation
C1,160.65,-133.5,T,90
C2,167.5,-126.5,T,180
C3,39.213842,-58.865,T,180
C4,40.213842,-56.865,T,-90
C5,40,-64.77,T,-90
C6,40,-66.75,T,90
C7,30.595,-82.615,T,-90
C8,71.48,-70,T,0
C11,33.213842,-59.365,T,-90
C12,33.375,-68.365,T,0
C13,32.5,-87.5,T,0
C14,47.3,-89.847316,T,180
C15,39.5,-69.48,T,-90
C16,155.52,-112.980001,T,-90
C17,146.04,-110.500001,T,0
C20,128.54,-119.500001,T,180
C21,142.3725,-154.169413,T,0
C24,120,-139,T,90
C25,111.04,-145.480001,T,90
C26,113.04,-147.500001,T,0
C27,33.215,-130.92,T,-90
C28,84.715,-138.42,T,0
C31,34.215,-127.92,T,90
C33,79.5,-84.5,T,180
C36,166,-62,T,0
C39,71.02,-97.5,T,0
C40,60.5,-105.5,T,0
C42,82,-96.98,T,90
D1,46.5,-112.5625,T,-90
D2,154.51,-45,T,180
D3,163.0625,-161,T,180
D7,40.285,-107.775,T,180
D8,154.4475,-48,T,180
D9,154.4475,-51,T,180
D10,154.51,-54,T,180
D24,163.0625,-158.5,T,180
D25,163.0625,-156,T,180
D26,163.0625,-153.5,T,180
D27,163.0625,-151,T,180
D28,163.0625,-148.5,T,180
D29,163.0625,-146,T,180
D30,163.0625,-143.5,T,180
D31,166.9775,-104.5,T,180
D32,166.9775,-107,T,180
D33,166.915,-109.5,T,180
D34,166.915,-112,T,180
D35,166.915,-114.5,T,180
D36,166.915,-117,T,180
D37,166.915,-119.5,T,180
D38,166.915,-122,T,180
D39,122.54,-116,T,0
D40,123.5625,-118.5,T,0
D41,121.9375,-121,T,0
D42,122,-123.5,T,0
D43,121.9375,-126,T,0
D44,122.5,-128.5,T,0
D45,122.5,-131,T,0
D46,122.4775,-133.5,T,0
D47,133.92,-39,T,-90
D48,129.92,-39,T,-90
D49,125.92,-39,T,-90
D50,121.92,-39,T,-90
D51,117.92,-39,T,-90
D52,113.92,-39,T,-90
D53,109.96,-39.0625,T,-90
D54,106,-39.0625,T,-90
D55,53,-46.5,T,-90
D56,56,-46.5,T,-90
D57,59,-46.4375,T,-90
D58,62.5,-46.5,T,-90
D59,65,-46.5,T,-90
D60,68,-46.5625,T,-90
D61,71,-46.5,T,-90
D62,74,-46.5,T,-90
D63,79.38,-41.5,T,90
D64,82.42,-41.5,T,90
D65,85.46,-41.5,T,90
D66,88.5,-41.5,T,90
D67,91.54,-41.5,T,90
D68,94.58,-41.5,T,90
D69,97.62,-41.5,T,90
D70,100.66,-41.5,T,90
D71,43,-42,T,-90
D72,46,-42,T,-90
D73,49,-42,T,-90
D74,52,-42.0625,T,-90
D75,171.5625,-61.5,T,180
D76,171.5625,-65.5,T,180
D77,171.5625,-69.5,T,180
D78,171.5625,-73.5,T,180
D79,171.5,-77.5,T,180
D80,165.5,-52.9375,T,-90
D81,168.5,-53,T,-90
D82,171.5,-53,T,-90
IC1,85.24,-120.795,T,-90
IC2,128,-61.67,T,0
IC3,147.4,-61.67,T,0
J1,168.46,-140,T,90
R1,40.213842,-54.865,T,90
R2,40.213842,-52.865,T,90
R3,30.5,-64,T,0
R4,39.875,-62.865,T,90
R5,39.375,-84.105,T,-90
R6,39.375,-82.105,T,90
R7,46.5,-115.8375,T,-90
R12,36.51,-107.5,T,180
R13,153.04,-158.000001,T,180
R26,75,-70,T,0
R27,150.875,-46.01,T,0
R28,150.875,-48,T,0
R29,150.875,-49.99,T,0
R30,150.875,-51.98,T,0
R47,153.05,-156.000001,T,180
R48,153.04,-154.000001,T,180
R49,153.04,-152.000001,T,180
R50,153.05,-150.000001,T,180
R51,153.04,-148.000001,T,180
R52,153.04,-146.000001,T,180
R53,153.04,-143.960001,T,180
R54,163.55,-104.500001,T,180
R55,163.55,-107,T,180
R56,163.55,-109.5,T,180
R57,163.55,-112,T,180
R58,163.55,-114.5,T,180
R59,163.5,-117,T,180
R60,163.5,-119.5,T,180
R61,163.55,-121.5,T,180
R62,125.3475,-121.010001,T,0
R63,125.3475,-123.000001,T,0
R64,125.3475,-124.990001,T,0
R65,125.3475,-126.980001,T,0
R66,125.4875,-128.640001,T,0
R67,125.4875,-130.630001,T,0
R68,125.4875,-132.620001,T,0
R69,125.4875,-134.610001,T,0
R70,117.47,-45.49,T,-90
R71,115.48,-45.49,T,-90
R72,113.49,-45.49,T,-90
R73,111.5,-45.49,T,-90
R74,109.51,-45.49,T,-90
R75,107.52,-45.49,T,-90
R76,105.53,-45.49,T,-90
R77,103.54,-45.49,T,-90
R78,123.38,-48.58,T,0
R79,123.49,-51.01,T,0
R80,123.49,-53,T,0
R81,123.49,-54.99,T,0
R82,123.49,-56.98,T,0
R83,123.49,-58.97,T,0
R84,123.49,-60.96,T,0
R85,123.49,-62.95,T,0
R86,63.5,-54.5,T,-90
R87,66,-54.49,T,-90
R88,68,-54.49,T,-90
R89,70,-54.5,T,-90
R90,72,-54.49,T,-90
R91,74,-54.48,T,-90
R92,76,-54.5,T,-90
R93,78,-54.49,T,-90
R94,90,-47.99,T,90
R95,91.99,-47.99,T,90
R96,93.98,-47.99,T,90
R97,95.97,-47.99,T,90
R98,82,-48,T,90
R99,83.99,-48,T,90
R100,85.98,-48,T,90
R101,87.97,-48,T,90
R102,43.5,-45.9475,T,90
R103,46,-45.9475,T,90
R104,48.5,-46,T,90
R105,51,-45.9575,T,90
R106,167.5,-66,T,0
R107,167,-71,T,0
R108,167,-73.5,T,0
R109,167.5,-76,T,0
R110,167,-78.5,T,0
R111,165.5,-57.5,T,-90
R112,168.5,-57.51,T,-90
R113,171.5,-57.5,T,-90
RV1,38.85,-44.25,T,180
SW1,33,-72,T,0
SW2,72.77,-112.435934,T,90
SW3,83.125,-112.550934,T,90
SW4,60.89,-110.685934,T,0
SW5,167.5,-88.75,T,90
SW6,36.7925,-112.4975,T,0
SW7,51.365,-108.820934,T,0
SW8,33,-99,T,90
U1,35.713842,-55.365,T,0
U2,167.5,-133,T,0
U4,35.375,-64.865,T,0
U5,35,-84,T,180
U6,45.3,-95.347316,T,0
U7,134.5825,-158.575001,T,-90
U8,125.04,-142.000001,T,90
U9,137.04,-123.600001,T,0
U10,149.04,-123.600001,T,0
U12,142.665,-115.910001,T,0
U13,151.115,-115.910001,T,0
U14,87.4125,-80.483434,T,90
U15,46.375,-52.5,T,0
U16,71.9125,-80.483434,T,-90
U17,75.365,-102.435934,T,90
U18,85.865,-102.435934,T,90
U19,74.365,-61.025,T,90
U22,47.135,-162.92,T,90
U24,133.065,-107.252645,T,0
U25,87,-70,T,-90
U26,90,-58.5,T,-90
U28,136.35,-52.82,T,90
U30,61.185,-162.92,T,90
U31,53.865,-102.435934,T,-90
U32,75.095,-162.9175,T,90
U34,39.715,-125.42,T,90
U36,39.215,-133.42,T,90
U39,115.54,-142.000001,T,180
U42,115.54,-152.000001,T,90
U44,33.135,-162.9175,T,90
